File,Access,Account,Alert,Click,Confidential,Fradulent,Indefinite,Information,Notification,Password,Please,Provide,Request,Update,Upgrade,Verb %,Verify,Result
20051114\0.eml,0,3,0,1,0,0,0,4,0,0,0,0,0,4,0,23.66,1,1
20051114\1.eml,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,22.5,0,1
20051114\10.eml,0,7,0,1,0,0,1,3,0,0,4,2,0,0,0,21.74,0,1
20051114\100.eml,0,2,0,1,0,0,0,3,1,0,4,0,0,4,0,19.35,0,1
20051114\101.eml,1,11,4,4,0,2,0,6,1,2,4,1,3,0,0,17.21,3,1
20051114\102.eml,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,19.63,0,1
20051114\104.eml,7,18,0,1,0,0,0,2,0,0,3,0,0,3,0,18.85,0,1
20051114\105.eml,1,9,0,1,0,0,0,2,0,0,2,1,2,0,0,15.94,1,1
20051114\106.eml,1,8,0,1,0,0,0,1,0,0,2,0,2,0,0,18.6,0,1
20051114\107.eml,1,6,4,0,0,2,0,2,1,0,4,0,2,0,0,21.48,3,1
20051114\108.eml,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,22.43,0,1
20051114\109.eml,0,5,0,3,0,0,0,2,1,1,1,1,3,0,0,21.43,0,1
20051114\11.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,20.55,0,1
20051114\110.eml,1,9,0,1,0,0,0,1,0,0,2,0,2,0,0,17.74,1,1
20051114\111.eml,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,22.43,0,1
20051114\112.eml,1,6,0,1,0,0,0,1,0,0,2,1,1,0,0,16.38,1,1
20051114\113.eml,1,6,0,1,0,0,0,1,0,0,2,1,1,0,0,16.52,1,1
20051114\114.eml,0,4,0,0,0,1,0,0,1,1,2,0,0,0,0,24.32,0,1
20051114\115.eml,0,5,0,1,0,0,0,2,0,0,2,0,0,7,0,20.0,0,1
20051114\116.eml,1,9,1,2,0,0,0,6,0,0,3,1,0,0,0,17.89,0,1
20051114\117.eml,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,22.43,0,1
20051114\118.eml,1,7,0,1,0,0,1,4,0,0,3,2,0,4,0,18.64,0,1
20051114\119.eml,6,9,0,1,0,0,0,3,2,0,3,0,0,0,0,16.67,0,1
20051114\12.eml,1,6,0,2,1,1,0,2,1,4,2,1,1,1,0,21.32,0,1
20051114\120.eml,3,9,0,0,0,0,0,3,0,0,2,0,1,0,0,19.42,1,1
20051114\121.eml,1,6,4,0,0,2,0,2,1,0,4,0,2,0,0,21.62,3,1
20051114\122.eml,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,19.05,0,1
20051114\123.eml,0,8,0,1,0,0,0,2,0,0,2,1,2,0,0,17.2,2,1
20051114\124.eml,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,22.75,0,1
20051114\125.eml,2,2,0,2,0,0,0,1,0,0,1,1,0,1,0,20.0,2,1
20051114\126.eml,4,11,0,0,0,0,0,1,0,0,1,2,0,0,0,20.33,0,1
20051114\127.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,20.41,0,1
20051114\128.eml,1,6,3,0,0,2,0,2,1,0,2,0,2,0,0,24.03,3,1
20051114\129.eml,0,9,0,1,0,0,0,3,0,0,2,1,2,0,0,18.47,2,1
20051114\13.eml,4,15,0,2,0,0,0,1,0,0,3,1,0,1,0,15.32,2,1
20051114\130.eml,1,3,0,1,0,0,0,5,0,0,1,1,0,2,0,16.55,0,1
20051114\131.eml,1,7,0,1,0,0,1,4,0,0,3,2,0,4,0,19.47,0,1
20051114\132.eml,7,18,0,1,0,0,0,1,0,0,3,0,0,3,0,20.45,0,1
20051114\133.eml,0,3,0,1,0,0,0,2,0,0,0,0,0,4,0,18.42,1,1
20051114\134.eml,1,3,0,1,0,0,0,5,0,0,1,1,0,2,0,16.44,0,1
20051114\135.eml,0,3,0,1,0,0,0,4,0,0,0,0,0,4,0,23.46,1,1
20051114\136.eml,1,6,4,0,0,2,0,2,1,0,4,0,2,0,0,21.48,3,1
20051114\137.eml,5,16,0,1,0,1,0,3,1,4,2,1,0,2,0,19.79,1,1
20051114\138.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,20.41,0,1
20051114\139.eml,1,5,0,1,0,0,0,1,0,0,2,1,2,0,0,14.41,1,1
20051114\14.eml,1,6,0,3,0,0,0,4,1,0,1,1,1,0,0,20.94,0,1
20051114\140.eml,1,5,0,1,0,0,0,1,0,0,2,1,2,0,0,14.41,1,1
20051114\141.eml,1,5,0,1,0,0,0,1,0,0,2,1,2,0,0,14.41,1,1
20051114\142.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,20.55,0,1
20051114\143.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,20.55,0,1
20051114\144.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,20.55,0,1
20051114\145.eml,1,5,0,1,0,0,0,1,0,0,2,1,2,0,0,14.41,1,1
20051114\146.eml,0,1,0,1,0,0,0,5,0,0,0,0,0,1,0,23.94,0,1
20051114\147.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38,0,1
20051114\148.eml,1,10,0,1,0,0,0,1,0,0,2,0,2,0,0,18.46,1,1
20051114\15.eml,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.0,0,1
20051114\151.eml,2,9,0,1,0,1,1,3,0,0,1,0,1,0,0,17.87,0,1
