File,Access,Account,Alert,Click,Confidential,Fradulent,Indefinite,Information,Notification,Password,Please,Provide,Request,Update,Upgrade,Verify,Verb %,Noun %,Adjective %,Adverb %,Result
phishing_set_1\0.eml,0,3,0,1,0,0,0,4,0,0,0,0,0,4,0,1,23.66,49.46,19.35,4.3,1
phishing_set_1\1.eml,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,22.5,52.5,20.0,3.75,1
phishing_set_1\10.eml,0,7,0,1,0,0,1,3,0,0,4,2,0,0,0,0,21.74,49.57,19.13,3.48,1
phishing_set_1\100.eml,0,2,0,1,0,0,0,3,1,0,4,0,0,4,0,0,19.35,52.69,22.58,4.3,1
phishing_set_1\101.eml,1,11,4,4,0,2,0,6,1,2,4,1,3,0,0,3,17.21,64.65,14.42,2.33,1
phishing_set_1\102.eml,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.63,60.75,15.89,2.8,1
phishing_set_1\104.eml,7,18,0,1,0,0,0,2,0,0,3,0,0,3,0,0,18.85,53.4,21.47,4.19,1
phishing_set_1\105.eml,1,9,0,1,0,0,0,2,0,0,2,1,2,0,0,1,15.94,55.8,17.39,7.25,1
phishing_set_1\106.eml,1,8,0,1,0,0,0,1,0,0,2,0,2,0,0,0,18.6,56.59,18.6,3.1,1
phishing_set_1\107.eml,1,6,4,0,0,2,0,2,1,0,4,0,2,0,0,3,21.48,61.07,13.42,2.68,1
phishing_set_1\108.eml,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,22.43,55.61,19.16,1.87,1
phishing_set_1\109.eml,0,5,0,3,0,0,0,2,1,1,1,1,3,0,0,0,21.43,56.59,15.38,2.75,1
phishing_set_1\11.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,0,20.55,49.32,23.29,2.74,1
phishing_set_1\110.eml,1,9,0,1,0,0,0,1,0,0,2,0,2,0,0,1,17.74,57.26,19.35,2.42,1
phishing_set_1\111.eml,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,22.43,55.61,19.16,1.87,1
phishing_set_1\112.eml,1,6,0,1,0,0,0,1,0,0,2,1,1,0,0,1,16.38,58.62,15.52,5.17,1
phishing_set_1\113.eml,1,6,0,1,0,0,0,1,0,0,2,1,1,0,0,1,16.52,58.26,15.65,5.22,1
phishing_set_1\114.eml,0,4,0,0,0,1,0,0,1,1,2,0,0,0,0,0,24.32,50.0,14.86,8.11,1
